$:	-1.5	0.80623	[-1, -1, -1, -1, -3, -1, -3, -1, -2, -1]
%)	-0.4	10198.00	[-1, 0, -1, 0, 0, -2, -1, 2, -1, 0]
%-)	-1.5	143178.00	[-2, 0, -2, -2, -1, 2, -2, -3, -2, -3]
&-:	-0.4	142829.00	[-3, -1, 0, 0, -1, -1, -1, 2, -1, 2]
&:	-0.7	0.64031	[0, -1, -1, -1, 1, -1, -1, -1, -1, -1]
( '}{' )	1.6	0.66332	[1, 2, 2, 1, 1, 2, 2, 1, 3, 1]
(%	-0.9	0.9434	[0, 0, 1, -1, -1, -1, -2, -2, -1, -2]
('-:	2.2	116619.00	[4, 1, 4, 3, 1, 2, 3, 1, 2, 1]
(':	2.3	0.9	[1, 3, 3, 2, 2, 4, 2, 3, 1, 2]
((-:	2.1	0.53852	[2, 2, 2, 1, 2, 3, 2, 2, 3, 2]
(*	1.1	113578.00	[2, 1, 1, -1, 1, 2, 2, -1, 2, 2]
(-%	-0.7	126886.00	[-1, 2, 0, -1, -1, -2, 0, 0, -3, -1]
(-*	1.3	126886.00	[4, 1, 2, 0, 2, -1, 1, 2, 1, 1]
(-:	1.6	0.8	[2, 2, 1, 3, 1, 1, 1, 3, 1, 1]
(-:0	2.8	0.87178	[3, 2, 3, 4, 3, 2, 3, 1, 4, 3]
(-:<	-0.4	215407.00	[-3, 3, -1, -1, 2, -1, -2, 3, -3, -1]
(-:o	1.5	0.67082	[3, 1, 1, 2, 2, 2, 1, 1, 1, 1]
(-:O	1.5	0.67082	[3, 1, 1, 2, 2, 2, 1, 1, 1, 1]
(-:{	-0.1	157797.00	[-2, -3, 1, -2, 1, 1, 0, 0, 2, 1]
(-:|>*	1.9	0.83066	[3, 2, 2, 1, 0, 2, 3, 2, 2, 2]
"(-;"	1.3	118743.00	[3, 2, 3, 0, 1, -1, 1, 2, 1, 1]
"(-;|"	2.1	113578.00	[3, 2, 2, 4, 1, 1, 1, 4, 2, 1]
(8	2.6	10198.00	[4, 2, 1, 3, 3, 3, 3, 1, 2, 4]
(:	2.2	116619.00	[3, 1, 1, 2, 1, 2, 4, 3, 4, 1]
(:0	2.4	111355.00	[0, 2, 3, 4, 3, 2, 3, 3, 1, 3]
(:<	-0.2	203961.00	[-2, -3, 1, 1, 2, -1, 2, 1, -4, 1]
(:o	2.5	0.92195	[3, 3, 1, 3, 3, 1, 2, 2, 4, 3]
(:O	2.5	0.92195	[3, 3, 1, 3, 3, 1, 2, 2, 4, 3]
"(;"	1.1	122066.00	[3, 1, 1, -1, 1, 2, 2, -1, 1, 2]
"(;<"	0.3	100499.00	[1, 2, -1, -1, 0, 0, 1, -1, 1, 1]
(=	2.2	116619.00	[3, 1, 2, 2, 1, 1, 4, 3, 4, 1]
(?:	2.1	0.83066	[2, 2, 1, 3, 2, 2, 4, 1, 2, 2]
(^:	1.5	0.67082	[1, 2, 2, 1, 3, 2, 1, 1, 1, 1]
"(^;"	1.5	0.5	[1, 2, 2, 1, 2, 1, 2, 1, 1, 2]
"(^;0"	2.0	0.7746	[2, 2, 1, 2, 1, 4, 2, 2, 2, 2]
"(^;o"	1.9	0.83066	[2, 2, 1, 2, 1, 4, 2, 1, 2, 2]
(o:	1.6	0.8	[2, 1, 3, 1, 1, 1, 2, 3, 1, 1]
)':	-2.0	0.44721	[-2, -2, -2, -2, -1, -3, -2, -2, -2, -2]
)-':	-2.1	0.53852	[-2, -2, -3, -2, -1, -2, -3, -2, -2, -2]
)-:	-2.1	0.9434	[-3, -2, -4, -1, -3, -2, -2, -2, -1, -1]
)-:<	-2.2	0.4	[-2, -2, -2, -2, -2, -2, -3, -3, -2, -2]
)-:{	-2.1	0.9434	[-1, -3, -2, -1, -2, -2, -3, -4, -1, -2]
):	-1.8	0.87178	[-1, -3, -1, -2, -1, -3, -1, -3, -1, -2]
):<	-1.9	0.53852	[-1, -3, -2, -2, -2, -1, -2, -2, -2, -2]
):{	-2.3	0.78102	[-1, -2, -3, -3, -2, -2, -4, -2, -2, -2]
");<"	-2.6	0.8	[-2, -2, -2, -3, -2, -3, -2, -2, -4, -4]
*)	0.6	142829.00	[1, -1, 1, -3, 1, 1, 2, 1, 1, 2]
*-)	0.3	161555.00	[1, -3, -2, 2, 1, 1, -1, 2, 1, 1]
*-:	2.1	151327.00	[2, 2, 4, 4, 2, 1, -1, 4, 1, 2]
"*-;"	2.4	162481.00	[2, 3, 4, 4, 2, 1, -1, 4, 1, 4]
*:	1.9	104403.00	[2, 1, 1, 3, 1, 2, 4, 3, 1, 1]
*<|:-)	1.6	128062.00	[0, 1, 3, 1, 1, 2, 3, 0, 4, 1]
*\0/*	2.3	100499.00	[2, 0, 3, 1, 3, 3, 2, 3, 3, 3]
*^:	1.6	142829.00	[2, 2, 1, 3, 2, 2, 3, 3, -1, -1]
,-:	1.2	0.4	[1, 1, 2, 1, 1, 1, 1, 1, 2, 1]
"---'-;-{@"	2.3	118743.00	[0, 1, 3, 4, 2, 3, 2, 2, 2, 4]
--<--<@	2.2	1249.00	[0, 1, 2, 4, 2, 1, 3, 2, 3, 4]
.-:	-1.2	0.4	[-1, -1, -1, -1, -1, -1, -2, -1, -2, -1]
..###-:	-1.7	0.78102	[-2, -3, -3, -2, -1, -1, -1, -1, -1, -2]
..###:	-1.9	104403.00	[-4, -1, -3, -1, -2, -2, -1, -3, -1, -1]
/-:	-1.3	0.64031	[-1, -1, -1, -1, -1, -1, -1, -2, -3, -1]
/:	-1.3	0.45826	[-2, -1, -1, -1, -2, -1, -1, -2, -1, -1]
/:<	-1.4	0.4899	[-1, -2, -2, -1, -1, -1, -1, -1, -2, -2]
/=	-0.9	0.53852	[-1, -1, -1, 0, -1, -2, -1, -1, -1, 0]
/^:	-1.0	0.7746	[-2, -1, -2, 1, -1, -1, -1, -1, -1, -1]
/o:	-1.4	0.66332	[0, -2, -1, -1, -2, -2, -1, -2, -1, -2]
0-8	0.1	144568.00	[2, -1, -2, 0, 2, 0, 2, 0, -2, 0]
0-|	-1.2	0.4	[-2, -1, -1, -1, -1, -1, -1, -1, -2, -1]
0:)	1.9	104403.00	[2, 2, 2, 1, 0, 2, 4, 1, 3, 2]
0:-)	1.4	0.91652	[2, 1, 0, 1, 2, 3, 2, 1, 2, 0]
0:-3	1.5	0.92195	[2, 1, 0, 2, 2, 3, 2, 1, 2, 0]
00:03	1.9	122066.00	[2, 3, 2, 0, 0, 1, 4, 2, 3, 2]
"0;^)"	1.6	0.91652	[0, 1, 3, 1, 2, 1, 2, 1, 2, 3]
0_o	-0.3	0.78102	[0, -2, 0, 1, 0, 0, -1, 0, -1, 0]
10q	2.1	122066.00	[1, 3, 1, 2, 1, 4, 3, 4, 1, 1]
1337	2.1	113578.00	[3, 1, 4, 0, 2, 3, 1, 2, 2, 3]
143	3.2	0.74833	[4, 4, 2, 3, 2, 3, 4, 3, 4, 3]
1432	2.6	0.8	[4, 3, 3, 2, 2, 4, 2, 2, 2, 2]
14aa41	2.4	0.91652	[3, 2, 2, 4, 2, 2, 1, 2, 4, 2]
182	-2.9	1.3	[-4, 0, -3, -3, -1, -3, -4, -4, -4, -3]
187	-3.1	122066.00	[-4, 0, -4, -3, -2, -4, -3, -3, -4, -4]
2g2b4g	2.8	0.6	[4, 2, 3, 2, 3, 3, 3, 3, 2, 3]
2g2bt	-0.1	157797.00	[-1, 2, -1, 1, 0, 2, 0, -3, -2, 1]
2qt	2.1	0.83066	[3, 3, 3, 3, 2, 1, 2, 1, 2, 1]
3:(	-2.2	0.87178	[-4, -3, -2, -3, -2, -1, -1, -2, -2, -2]
3:)	0.5	128452.00	[-2, 1, -2, 1, 1, 1, 1, 2, 1, 1]
3:-(	-2.3	0.78102	[-2, -3, -2, -2, -2, -2, -4, -1, -3, -2]
3:-)	-1.4	135647.00	[-1, -2, 1, 1, -2, -2, -3, -1, -3, -2]
4col	-2.2	116619.00	[-2, -3, -1, -3, -4, -1, -2, -1, -4, -1]
4q	-3.1	151327.00	[-3, -3, -4, -2, -4, -4, -4, 1, -4, -4]
5fs	1.5	111803.00	[1, 2, 1, 1, 2, 3, 2, 3, -1, 1]
8)	1.9	0.7	[2, 2, 2, 1, 1, 2, 2, 3, 3, 1]
8-d	1.7	0.64031	[1, 2, 0, 2, 2, 2, 2, 2, 2, 2]
8-o	-0.3	0.78102	[1, -1, 0, 0, 0, -1, 0, -2, 0, 0]
86	-1.6	10198.00	[-1, -1, -1, -1, -1, -4, -1, -2, -1, -3]
8d	2.9	0.53852	[3, 3, 4, 2, 3, 3, 3, 3, 2, 3]
:###..	-2.4	0.91652	[-3, -2, -4, -3, -1, -2, -2, -3, -1, -3]
:$	-0.2	183303.00	[-2, -1, 0, 0, -1, 1, 4, -3, 1, -1]
:&	-0.6	10198.00	[-2, -1, 0, 0, -1, -1, 1, -2, 1, -1]
:'(	-2.2	0.74833	[-2, -1, -2, -2, -2, -2, -4, -3, -2, -2]
:')	2.3	0.78102	[3, 1, 3, 2, 2, 2, 2, 4, 2, 2]
:'-(	-2.4	0.66332	[-2, -1, -2, -3, -2, -3, -3, -3, -2, -3]
:'-)	2.7	0.64031	[2, 1, 3, 3, 3, 3, 3, 3, 3, 3]
:(	-1.9	113578.00	[-2, -3, -2, 0, -1, -1, -2, -3, -1, -4]
:)	2.0	118322.00	[2, 2, 1, 1, 1, 1, 4, 3, 4, 1]
:*	2.5	10247.00	[3, 2, 1, 1, 2, 3, 4, 3, 4, 2]
:-###..	-2.5	0.92195	[-3, -2, -3, -2, -4, -3, -1, -3, -1, -3]
:-&	-0.5	0.92195	[-1, -1, 0, -1, -1, -1, -1, 0, 2, -1]
:-(	-1.5	0.5	[-2, -1, -1, -1, -2, -2, -2, -1, -2, -1]
:-)	1.3	0.45826	[1, 1, 1, 1, 2, 1, 2, 1, 2, 1]
:-))	2.8	107703.00	[3, 4, 4, 1, 2, 2, 4, 2, 4, 2]
:-*	1.7	0.64031	[1, 2, 1, 1, 1, 3, 2, 2, 2, 2]
:-,	1.1	0.53852	[1, 1, 1, 0, 1, 1, 1, 1, 2, 2]
:-.	-0.9	0.53852	[-1, -1, 0, -1, 0, -1, -1, -1, -2, -1]
:-/	-1.2	0.6	[0, -1, -1, -1, -1, -2, -2, -1, -1, -2]
:-<	-1.5	0.5	[-2, -1, -1, -2, -1, -2, -2, -1, -2, -1]
:-d	2.3	0.45826	[2, 2, 3, 3, 2, 3, 2, 2, 2, 2]
:-D	2.3	0.45826	[2, 2, 3, 3, 2, 3, 2, 2, 2, 2]
:-o	0.1	1.3	[2, -1, -2, 0, 1, 1, 2, 0, -1, -1]
:-p	1.5	0.4	[1, 2, 1, 1, 1, 1, 2, 1, 1, 1]
:-[	-1.6	0.4899	[-1, -2, -1, -2, -2, -1, -2, -1, -2, -2]
:-\	-0.9	0.3	[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1]
:-c	-1.3	0.45826	[-1, -1, -1, -2, -2, -1, -2, -1, -1, -1]
:-|	-0.7	0.5	[1, 1, 1, 1, 1, 2, 2, 2, 2, 2]
:-||	-2.5	0.64031	[-1, -1, 0, 0, 0, -1, -1, -2, 0, -1]
:-_	0.9	0.67082	[-2, -2, -2, -3, -2, -3, -3, -2, -2, -4]
:/	-1.4	104403.00	[1, -1, 1, 2, 1, -1, 1, 2, 2, 1]
:3	2.3	0.66332	[-1, -1, -1, -1, -1, -1, -3, -2, -2, -1]
:<	-2.1	126886.00	[4, 1, 1, 1, 2, 2, 4, 3, 4, 1]
:>	2.1	0.7	[-3, -1, -2, -2, -2, -2, -3, -3, -2, -1]
:?)	1.3	122066.00	[3, 1, 1, 1, 1, 2, 4, 3, 4, 1]
:?c	-1.6	0.64031	[3, 1, 1, 1, 1, 2, 1, 1, 1, 1]
:@	-2.5	0.4899	[-1, -2, -1, -1, -2, -2, -1, -2, -2, -2]
:d	2.3	0.80623	[-1, -3, -3, -2, -1, -3, -3, -3, -3, -3]
:D	2.3	1.1	[4, 2, 2, 1, 2, 1, 4, 3, 3, 1]
:l	-1.7	1.1	[4, 2, 2, 1, 2, 1, 4, 3, 3, 1]
:o	-0.4	0.9	[-1, -3, -1, -1, -1, -3, -2, -3, -1, -1]
:p	1.4	135647.00	[2, -1, -2, 0, 1, 0, -3, 0, -1, 0]
:s	-1.2	0.7746	[-1, 1, 1, 1, 1, 1, 2, 1, 2, 1]
:[	-2.0	0.9798	[-2, -2, -1, -1, -1, 1, -3, -1, -1, -1]
:\	-1.3	0.63246	[-2, -2, -1, -2, -2, -3, -3, -2, -1, -2]
:]	2.2	0.45826	[-2, -1, -1, -1, -1, -1, -2, -1, -1, -2]
:^)	2.1	116619.00	[3, 1, 1, 1, 3, 1, 4, 2, 2, 4]
:^*	2.6	113578.00	[3, 2, 4, 1, 1, 1, 1, 2, 4, 2]
:^/	-1.2	0.91652	[2, 1, 2, 3, 4, 4, 3, 2, 3, 2]
:^\	-1.0	0.6	[-2, -1, -2, 0, -1, -1, -1, -1, -2, -1]
